BOM,Package,Device ID,Device Name,Provider Name,Manufacturer Name,Class Name,Extension ID,Version,Date
200.0.5.0,HalExtQCWdogTimer8180.cab,ACPI\QCOM0404,"Qualcomm(R) System Manager Device","Qualcomm Incorporated","Qualcomm Incorporated",Computer,,1.0.0500.0000,03/07/2019
200.0.5.0,qca11ad8180.cab,PCI\VEN_17CB&DEV_1201,"Qualcomm 11ad Wireless Network Adapter - QCA6436","Qualcomm Atheros","Qualcomm Atheros",Net,,3.0.0500.0000,03/07/2019
200.0.5.0,qca11ad8180.cab,PCI\VEN_1AE9&DEV_0310,"Qualcomm 11ad Wireless Network Adapter - QCA6320/QCA6335","Qualcomm Atheros","Qualcomm Atheros",Net,,3.0.0500.0000,03/07/2019
200.0.5.0,qcabd8180.cab,ACPI\QCOM0427,"Qualcomm(R) ACPI Bridge Device","Qualcomm Technologies Inc.","Qualcomm Technologies Inc.",System,,1.0.0500.0000,03/07/2019
200.0.5.0,qcacsp_cls8180.cab,SLM1\VEN_QCOM&DEV_0424&SUBSYS_CLS08180,"Qualcomm(R) Aqstic(TM)","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",Extension,{04215DF0-AD48-4A1D-8451-7A68AFDA472D},1.0.0500.0000,03/07/2019
200.0.5.0,qcadc8180.cab,ACPI\QCOM0412,"Qualcomm(R) Hexagon(TM) 685 DSP","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",System,,1.0.0500.0000,03/07/2019
200.0.5.0,qcadcm8180.cab,SLM1\QCOM0424,"Qualcomm(R) Aqstic(TM)","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.0500.0000,03/07/2019
200.0.5.0,qcadsprpc8180.cab,ACPI\QCOM0460,"Qualcomm(R) Hexagon(TM) 685 DSP","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.0500.0000,03/07/2019
200.0.5.0,qcadsprpcd8180.cab,ACPI\QCOM048A,"Qualcomm(R) Hexagon(TM) 685 DSP","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,ADCM\VEN_QCOM&DEV_0425&SUBSYS_CDP08180,"Qualcomm(R) Aqstic(TM)","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,ADCM\VEN_QCOM&DEV_0425&SUBSYS_CLS08180,"Qualcomm(R) Aqstic(TM)","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,ADCM\VEN_QCOM&DEV_0425&SUBSYS_HAN08180,"Qualcomm(R) Aqstic(TM)","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,ADCM\VEN_QCOM&DEV_0425&SUBSYS_MTP08180,"Qualcomm(R) Aqstic(TM)","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,ADCM\VEN_QCOM&DEV_0425&SUBSYS_QRD08180,"Qualcomm(R) Aqstic(TM)","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,AUDD\VEN_QCOM&DEV_0437&SUBSYS_CDP08180,"Qualcomm Multi Button Headset Controller","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,AUDD\VEN_QCOM&DEV_0437&SUBSYS_CLS08180,"Qualcomm Multi Button Headset Controller","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
200.0.5.0,qcauddev_ext8180.cab,AUDD\VEN_QCOM&DEV_0437&SUBSYS_MTP08180,"Qualcomm Multi Button Headset Controller","Qualcomm","(Extension system devices)",Extension,{2B959421-CEB4-43E3-89F3-87F65B16E967},1.0.0500.0000,03/07/2019
