BOM,Package,Device ID,Device Name,Provider Name,Manufacturer Name,Class Name,Extension ID,Version,Date
200.0.1.0,HalExtQCWdogTimer7280.cab,ACPI\QCOM0A04,"Qualcomm(R) System Manager QCWdogTimer HAL Extension","Qualcomm Incorporated","Qualcomm Incorporated",Computer,,1.0.3425.7600,02/23/2022
200.0.1.0,mcfg_subsys_ext7280.cab,ACPI\VEN_QCOM&DEV_0A1C&SUBSYS_CQDS7280,"Qualcomm Advanced Modem Subsystem Device","Qualcomm Technologies, Incorporated","Qualcomm Technologies, Incorporated",Extension,{295ed864-1553-4685-8b71-bda397c9680f},2.0.3425.7600,02/23/2022
200.0.1.0,mcfg_subsys_ext7280.cab,ACPI\VEN_QCOM&DEV_0A1C&SUBSYS_CQSS7280,"Qualcomm Advanced Modem Subsystem Device","Qualcomm Technologies, Incorporated","Qualcomm Technologies, Incorporated",Extension,{295ed864-1553-4685-8b71-bda397c9680f},2.0.3425.7600,02/23/2022
200.0.1.0,mcfg_subsys_ext7280.cab,ACPI\VEN_QCOM&DEV_0A1C&SUBSYS_CRAG7280,"Qualcomm(R) System Manager Device","Qualcomm Technologies, Incorporated","Qualcomm Technologies, Incorporated",Extension,{295ed864-1553-4685-8b71-bda397c9680f},2.0.3425.7600,02/23/2022
200.0.1.0,mcfg_subsys_ext7280.cab,ACPI\VEN_QCOM&DEV_0A1C&SUBSYS_IDAG7280,"Qualcomm(R) System Manager Device","Qualcomm Technologies, Incorporated","Qualcomm Technologies, Incorporated",Extension,{295ed864-1553-4685-8b71-bda397c9680f},2.0.3425.7600,02/23/2022
200.0.1.0,mcfg_subsys_ext7280.cab,ACPI\VEN_QCOM&DEV_0A1C&SUBSYS_IDP07280,"Qualcomm Advanced Modem Subsystem Device","Qualcomm Technologies, Incorporated","Qualcomm Technologies, Incorporated",Extension,{295ed864-1553-4685-8b71-bda397c9680f},2.0.3425.7600,02/23/2022
200.0.1.0,mcfg_subsys_ext7280.cab,ACPI\VEN_QCOM&DEV_0A1C&SUBSYS_IDPS7280,"Qualcomm Advanced Modem Subsystem Device","Qualcomm Technologies, Incorporated","Qualcomm Technologies, Incorporated",Extension,{295ed864-1553-4685-8b71-bda397c9680f},2.0.3425.7600,02/23/2022
200.0.1.0,qc5gnrcoexmgr_ext7280.cab,ACPI\QCOM0AD6,"Qualcomm 5GNR Coex Manager Modem Device","Qualcomm Incorporated","Qualcomm Incorporated",Extension,{5ACF1380-A211-4B39-B149-F2A1F00DA9B4},1.0.3425.7600,02/23/2022
200.0.1.0,qc5gnrcoexmgr7280.cab,ACPI\QCOM0AD6,"Qualcomm 5GNR Coex Manager Modem Device","Qualcomm Incorporated","Qualcomm Incorporated",System,,1.0.3425.7600,02/23/2022
200.0.1.0,qcabd.cab,ACPI\QCOM0427,"Qualcomm(R) ACPI Bridge Device","Qualcomm Technologies Inc.","Qualcomm Technologies Inc.",System,,1.0.3425.7600,02/23/2022
200.0.1.0,qcacsp_crd7280.cab,ADSP\VEN_QCOM&DEV_0A22&SUBSYS_CRD07280,"Qualcomm(R) Aqstic(TM) Audio Calibration Settings Pkg for CRD ADCM","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",Extension,{F9507C4D-7558-417A-AB0A-7E491D1ED5D8},1.0.3425.7600,02/23/2022
200.0.1.0,qcadc7280.cab,ACPI\QCOM0A11,"Qualcomm(R) Analog-to-Digital Converter Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",System,,1.0.3425.7600,02/23/2022
200.0.1.0,qcadcm7280.cab,ADSP\QCOM0A22,"Qualcomm(R) Aqstic(TM) Audio DSP and Calibration Manager","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3425.7600,02/23/2022
200.0.1.0,qcadsprpc7280.cab,ACPI\QCOM0A5C,"Qualcomm(R) FastRPC Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3425.7600,02/23/2022
200.0.1.0,qcadsprpcd7280.cab,ACPI\QCOM0A82,"Qualcomm(R) Audio RPC Daemon Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3425.7600,02/23/2022
200.0.1.0,qcaucd_ext_crd7280.cab,ADCM\VEN_QCOM&DEV_0AC1&SUBSYS_CRD07280,"Qualcomm(R) Aqstic(TM) Audio Codec Driver CRD Pkg","Qualcomm Technologies, Inc.","(Extension system devices)",Extension,{11F3539B-BBCE-45E9-8E17-391F80ECE81A},1.0.3425.7600,02/23/2022
200.0.1.0,qcaucd7280.cab,ADCM\QCOM0AC1,"Qualcomm(R) Aqstic(TM) Audio Codec Driver","Qualcomm","(Standard system devices)",Media,,1.0.3425.7600,02/23/2022
200.0.1.0,qcaudminiport_Base7280.cab,AUCD\QCOM0A29,"Qualcomm(R) Aqstic(TM) Audio Adapter Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3425.7600,02/23/2022
200.0.1.0,qcaudminiportCRD_Extension7280.cab,AUCD\VEN_QCOM&DEV_0A29&SUBSYS_CRD07280,"Qualcomm(R) Aqstic(TM) Audio Adapter Device CRD","Qualcomm Technologies, Inc.","QUALCOMM",Extension,{E372325F-A149-41CE-8A0B-54B9178F4C41},1.0.3425.7600,02/23/2022
200.0.1.0,qcbtaddvscregistry7280.cab,QCA_SHB\UART_H4,"Qualcomm(R) Bluetooth Radio Driver","Qualcomm Incorporated","Qualcomm Incorporated",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qcbtaddvscregistry7280.cab,SystemBusQc\SMD_BT,"Qualcomm(R) Bluetooth Radio Driver","Qualcomm Incorporated","Qualcomm Incorporated",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_ext7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_CLS07280,"Qualcomm(R) Bluetooth UART Transport Driver NVM Extension","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Extension,{8CB101C6-3778-4F2C-9295-27BE9A778250},1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_ext7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_MTP07280,"Qualcomm(R) Bluetooth UART Transport Driver NVM Extension","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Extension,{8CB101C6-3778-4F2C-9295-27BE9A778250},1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_ext7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_QRD07280,"Qualcomm(R) Bluetooth UART Transport Driver NVM Extension","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Extension,{8CB101C6-3778-4F2C-9295-27BE9A778250},1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_hsp7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_CDP07280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_hsp7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_CRD07280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_hsp7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_IDP07280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_hsp7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_MTP07280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qcbtfmuart_hsp7280.cab,ACPI\VEN_QCOM&DEV_0A6B&SUBSYS_QRD07280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamauxsensor_extension7280.cab,ACPI\VEN_QCOM&DEV_0A99&SUBSYS_CRD07280,"Qualcomm(R) Spectra(TM) 390 ISP","Qualcomm Incorporated","Qualcomm Incorporated",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamauxsensor_extension7280.cab,ACPI\VEN_QCOM&DEV_0A99&SUBSYS_IDP17280,"Qualcomm(R) Spectra(TM) 390 ISP","Qualcomm Incorporated","Qualcomm Incorporated",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamauxsensor7280.cab,ACPI\QCOM0A99,"Qualcomm(R) Spectra(TM) 395 ISP  Camera Auxiliary Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Camera,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamauxsensor7280.cab,ACPI\VEN_QCOM&DEV_0A99,"Qualcomm(R) Spectra(TM) 395 ISP  Camera Auxiliary Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Camera,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamavs_ext7280.cab,VIDEO\QCOM_AVStream_7280,"Qualcomm(R) Spectra(TM) 395 ISP Camera AVStream Device","Qualcomm","Qualcomm",Extension,{871674d5-1b8c-46c9-9ee2-fc30ab759d41},1.0.3425.7600,02/23/2022
200.0.1.0,qccamavs7280.cab,VIDEO\QCOM_AVStream_7280,"Qualcomm(R) Spectra(TM) 395 ISP Camera AVStream Device","Qualcomm","Qualcomm",CAMERA,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamflash7280.cab,ACPI\QCOM0A27,"Qualcomm(R) Spectra(TM) 395 ISP Camera Flash Device","Qualcomm Inc.","Qualcomm Inc.",Camera,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamfrontsensor_extension7280.cab,ACPI\VEN_QCOM&DEV_0A06&SUBSYS_CRD07280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Front Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamfrontsensor_extension7280.cab,ACPI\VEN_QCOM&DEV_0A06&SUBSYS_IDP07280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Front Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamfrontsensor_extension7280.cab,ACPI\VEN_QCOM&DEV_0A06&SUBSYS_IDP17280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Front Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamfrontsensor7280.cab,ACPI\QCOM0A06,"Qualcomm(R) Spectra(TM) 395 ISP Camera Front Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Camera,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamfrontsensor7280.cab,ACPI\VEN_QCOM&DEV_0A06,"Qualcomm(R) Spectra(TM) 395 ISP Camera Front Sensor Device","Qualcomm Incorporated","Qualcomm Incorporated",Camera,,1.0.3425.7600,02/23/2022
200.0.1.0,qccamisp_ext7280.cab,ACPI\VEN_QCOM&DEV_0A25&SUBSYS_CDP07280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Device","Qualcomm","Qualcomm",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamisp_ext7280.cab,ACPI\VEN_QCOM&DEV_0A25&SUBSYS_CLS07280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Device","Qualcomm","Qualcomm",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamisp_ext7280.cab,ACPI\VEN_QCOM&DEV_0A25&SUBSYS_CRD07280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Device","Qualcomm","Qualcomm",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
200.0.1.0,qccamisp_ext7280.cab,ACPI\VEN_QCOM&DEV_0A25&SUBSYS_IDP07280,"Qualcomm(R) Spectra(TM) 395 ISP Camera Device","Qualcomm","Qualcomm",Extension,{7649844B-A877-45EA-82D1-209503372162},1.0.3425.7600,02/23/2022
