BOM,Package,Device ID,Device Name,Provider Name,Manufacturer Name,Class Name,Extension ID,Version,Date
200.0.1.0,HalExtQCWdogTimer8280.cab,ACPI\QCOM0604,"Qualcomm(R) System Manager QCWdogTimer HAL Extension","Qualcomm Incorporated","Qualcomm Incorporated",Computer,,1.0.3257.8600,07/06/2021
200.0.1.0,qcabd.cab,ACPI\QCOM0427,"Qualcomm(R) ACPI Bridge Device","Qualcomm Technologies Inc.","Qualcomm Technologies Inc.",System,,1.0.3257.8600,07/06/2021
200.0.1.0,qcacsp_qrd8280.cab,ADSP\VEN_QCOM&DEV_0622&SUBSYS_QRD08280,"Qualcomm(R) Aqstic(TM) Audio Calibration Settings Pkg for CRD ADCM","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",Extension,{04215DF0-AD48-4A1D-8451-7A68AFDA472D},1.0.3257.8600,07/06/2021
200.0.1.0,qcadc8280.cab,ACPI\QCOM0611,"Qualcomm(R) Analog-to-Digital Converter Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",System,,1.0.3257.8600,07/06/2021
200.0.1.0,qcadcm8280.cab,ADSP\QCOM0622,"Qualcomm(R) Aqstic(TM) Audio DSP and Calibration Manager","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3257.8600,07/06/2021
200.0.1.0,qcadsprpc8280.cab,ACPI\QCOM065C,"Qualcomm(R) FastRPC Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3257.8600,07/06/2021
200.0.1.0,qcadsprpcd8280.cab,ACPI\QCOM0682,"Qualcomm(R) Audio RPC Daemon Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3257.8600,07/06/2021
200.0.1.0,qcaucd_ext_qrd8280.cab,ADCM\VEN_QCOM&DEV_06C1&SUBSYS_QRD08280,"Qualcomm(R) Aqstic(TM) Audio Codec Driver CRD Pkg","Qualcomm Technologies, Inc.","(Extension system devices)",Extension,{441502a9-b5e4-43cf-b187-294905b20479},1.0.3257.8600,07/06/2021
200.0.1.0,qcaucd8280.cab,ADCM\QCOM06C1,"Qualcomm(R) Aqstic(TM) Audio Codec Driver","Qualcomm","(Standard system devices)",Media,,1.0.3257.8600,07/06/2021
200.0.1.0,qcaudminiport_Base8280.cab,AUCD\QCOM0629,"Qualcomm(R) Aqstic(TM) Audio Adapter Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3257.8600,07/06/2021
200.0.1.0,qcaudminiportQRD_Extension8280.cab,AUCD\VEN_QCOM&DEV_0629&SUBSYS_QRD08280,"Qualcomm(R) Aqstic(TM) Audio Adapter Device CRD","Qualcomm Technologies, Inc.","QUALCOMM",Extension,{602A5BC6-E221-419D-8A9B-AB1F6EFF8B95},1.0.3257.8600,07/06/2021
200.0.1.0,qcbattminiclass8280.cab,ACPI\QCOM062A,"Qualcomm(R) Power Management Battery Miniclass Device","Qualcomm Incorporated","Qualcomm Incorporated",Battery,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtaddvscregistry8280.cab,QCA_SHB\UART_H4,"Qualcomm(R) Bluetooth Radio Driver","Qualcomm Incorporated","Qualcomm Incorporated",Bluetooth,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtaddvscregistry8280.cab,SystemBusQc\SMD_BT,"Qualcomm(R) Bluetooth Radio Driver","Qualcomm Incorporated","Qualcomm Incorporated",Bluetooth,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_ext8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_CLS08280,"Qualcomm(R) Bluetooth UART Transport Driver NVM Extension","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Extension,{8CB101C6-3778-4F2C-9295-27BE9A778250},1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_ext8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_MTP08280,"Qualcomm(R) Bluetooth UART Transport Driver NVM Extension","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Extension,{8CB101C6-3778-4F2C-9295-27BE9A778250},1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_ext8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_QRD08280,"Qualcomm(R) Bluetooth UART Transport Driver NVM Extension","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Extension,{8CB101C6-3778-4F2C-9295-27BE9A778250},1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_hsp8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_CDP08280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_hsp8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_CLSC8280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_hsp8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_CLSD8280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_hsp8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_MTP08280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3257.8600,07/06/2021
200.0.1.0,qcbtfmuart_hsp8280.cab,ACPI\VEN_QCOM&DEV_066B&SUBSYS_MTPC8280,"Qualcomm(R) Bluetooth UART Transport Driver","Qualcomm Atheros Communications Inc.","Qualcomm Atheros Communications Inc.",Bluetooth,,1.0.3257.8600,07/06/2021
