BOM,Package,Device ID,Device Name,Provider Name,Manufacturer Name,Class Name,Extension ID,Version,Date
200.0.1.0,HalExtQCWdogTimer8380.cab,ACPI\QCOM0C04,"Qualcomm(R) System Manager QCWdogTimer HAL Extension","Qualcomm Incorporated","Qualcomm Incorporated",Computer,,1.0.3769.8100,06/09/2023
200.0.1.0,qcabd.cab,ACPI\QCOM0427,"Qualcomm(R) ACPI Bridge Device","Qualcomm Technologies Inc.","Qualcomm Technologies Inc.",System,,1.0.3769.8100,06/09/2023
200.0.1.0,qcacsp_crd8380.cab,ADSP\VEN_QCOM&DEV_0C22&SUBSYS_CRD08380,"Qualcomm(R) Aqstic(TM) Audio Calibration Settings Pkg for CRD ADCM","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",Extension,{04215DF0-AD48-4A1D-8451-7A68AFDA472D},1.0.3769.8100,06/09/2023
200.0.1.0,qcadc8380.cab,ACPI\QCOM0C11,"Qualcomm(R) Analog-to-Digital Converter Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",System,,1.0.3769.8100,06/09/2023
200.0.1.0,qcadcm8380.cab,ADSP\QCOM0C22,"Qualcomm(R) Aqstic(TM) Audio DSP and Calibration Manager","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3769.8100,06/09/2023
200.0.1.0,qcadsprpc8380.cab,ACPI\QCOM0C5C,"Qualcomm(R) FastRPC Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3771.7300,06/09/2023
200.0.1.0,qcadsprpcd8380.cab,ACPI\QCOM0C82,"Qualcomm(R) Audio RPC Daemon Device","Qualcomm Technologies, Inc.","Qualcomm Technologies, Inc.",SYSTEM,,1.0.3771.7300,06/09/2023
200.0.1.0,qcAlwaysOnSensing.cab,ACPI\QCOM0D06,"Qualcomm(R) Spectra(TM) 695 ISP Camera Always On Sensing Device","Qualcomm Incorporated","Qualcomm Incorporated",Sensor,,1.0.3769.8100,06/09/2023
200.0.1.0,qcasd_CRD_Extension8380.cab,ADCM\VEN_QCOM&DEV_0CE6&SUBSYS_CRD08380,"Qualcomm(R) Aqstic(TM)","Qualcomm Technologies, Inc.","QUALCOMM",Extension,{2EDF38BA-369F-4B78-81D4-17CE7ACF5E0B},1.0.3769.8100,06/09/2023
200.0.1.0,qcasd8380.cab,{1f8c1c07-fa79-421a-936f-e8f4fb2f3300}\Capture,"Qualcomm(R) Aqstic(TM) ACX BLE Capture Audio Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3769.8100,06/09/2023
200.0.1.0,qcasd8380.cab,{1f8c1c07-fa79-421a-936f-e8f4fb2f3300}\Render,"Qualcomm(R) Aqstic(TM) ACX BLE Render Audio Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3769.8100,06/09/2023
200.0.1.0,qcasd8380.cab,ADCM\QCOM0CE6,"Qualcomm(R) Aqstic(TM) ACX Audio Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3769.8100,06/09/2023
200.0.1.0,qcasd8380.cab,qcasd\DynamicEnumExternalDisplay,"Qualcomm(R) Aqstic(TM) ACX External Display Audio Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3769.8100,06/09/2023
200.0.1.0,qcasd8380.cab,qcasd\StaticEndpointDevice,"Qualcomm(R) Aqstic(TM) ACX Static Endpoints Audio Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3769.8100,06/09/2023
200.0.1.0,qcaucd_ext_crd8380.cab,ADCM\VEN_QCOM&DEV_0CC1&SUBSYS_CRD08380,"Qualcomm(R) Aqstic(TM) Audio Codec Driver CRD Pkg","Qualcomm Technologies, Inc.","(Extension system devices)",Extension,{74B863BC-76B6-4F31-B33D-126C019EBB0A},1.0.3769.8100,06/09/2023
200.0.1.0,qcaucd8380.cab,ADCM\QCOM0CC1,"Qualcomm(R) Aqstic(TM)","Qualcomm","(Standard system devices)",Media,,1.0.3769.8100,06/09/2023
200.0.1.0,qcaudminiport_Base8380.cab,AUCD\QCOM0C29,"Qualcomm(R) Aqstic(TM) Audio Adapter Device","Qualcomm Technologies, Inc.","QUALCOMM",MEDIA,,1.0.3769.8100,06/09/2023
