BOM,Package,Device ID,Device Name,Provider Name,Manufacturer Name,Class Name,Extension ID,Version,Date
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{03A7E313-8933-40CF-A04B-8E4DF50B689C},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{39CA0E35-3210-4761-BAEE-101062DBFD90},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{774825A1-9193-4D3F-B49D-314DB7C1A2F3},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{817C5AF7-E4FC-45BE-8962-80A1BA5DA2F0},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{AB00592F-0D29-4BD6-8579-5662F416F76D},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{B9AB7698-10E5-4A4B-B7DB-9DA397EAC12D},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{C9300BF0-A8CC-4E6D-9F0E-A2EC0A461571},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{DEB4F091-5B13-433A-9F4B-DDD0B88880EE},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{F272FD6E-7CD3-4BD1-A8F8-1C185D07F080},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,GtoPatchDrvUMDF_ext.cab,MBFW\{FE020E72-D332-4C60-86C1-8B793150745D},"Gemalto eSIM Update Device Extension,"Surface","Surface",Extension,{314B202B-0951-4CAA-B611-34AADC7ADF5B},1.0.0.1,06/21/2022
200.0.2.0,MhiHost.cab,PCI\VEN_17CB&DEV_0300,%PCI\VEN_17CB&DEV_0300.DeviceDesc%,"Qualcomm","Microsoft",System,,18.52.1.2,06/28/2022
200.0.2.0,MhiHost.cab,PCI\VEN_17CB&DEV_0301,%PCI\VEN_17CB&DEV_0301.DeviceDesc%,"Qualcomm","Microsoft",System,,18.52.1.2,06/28/2022
